course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_title_clean
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8.8k,Big Data  Introduccin al uso prctico de datos masivos
Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35k,Biohacking Your Brains Health
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner,88k,Biology Meets Programming Bioinformatics for Beginners
Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14k,Biostatistics in Public Health
Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,1.9k,Blended Language Learning Design and Practice for Teachers
Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate,68k,Blockchain
Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner,21k,Blockchain Revolution
Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner,1.6k,Blockchain Revolution in Financial Services
Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,31k,Blockchain Foundations and Use Cases
Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,Beginner,9.5k,Boosting Creativity for Innovation
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,57k,Brand Management Aligning Business Brand and Behaviour
Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26k,Branding The Creative Journey
Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Intermediate,84k,Budgeting and Scheduling Projects
Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,Beginner,15k,Bugs 101 InsectHuman Interactions
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,Intermediate,95k,Build a Modern Computer from First Principles From Nand to Tetris ProjectCentered Course
Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,Intermediate,7.3k,Building Batch Data Pipelines on GCP
Building Conversational Experiences with Dialogflow,Google Cloud,COURSE,4.5,Beginner,22k,Building Conversational Experiences with Dialogflow
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,Intermediate,5.8k,Building Resilient Streaming Analytics Systems on GCP
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate,24k,Building Scalable Java Microservices with Spring Boot and Spring Cloud
Building Your Leadership Skills,HEC Paris,COURSE,4.5,Intermediate,67k,Building Your Leadership Skills
Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,280k,Business Analytics
Business English,Arizona State University,SPECIALIZATION,4.7,Intermediate,38k,Business English
Business English Communication Skills,University of Washington,SPECIALIZATION,4.7,Intermediate,120k,Business English Communication Skills
Business English: Networking,University of Washington,COURSE,4.7,Intermediate,77k,Business English Networking
Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,510k,Business Foundations
Business Model Innovation,HEC Paris,COURSE,4.7,Intermediate,13k,Business Model Innovation
Business Statistics and Analysis,Rice University,SPECIALIZATION,4.7,Beginner,110k,Business Statistics and Analysis
Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,24k,Business Strategies for A Better World
Business Strategy,University of Virginia,SPECIALIZATION,4.7,Beginner,89k,Business Strategy
Business Technology Management,Indian School of Business,SPECIALIZATION,4.5,Beginner,67k,Business Technology Management
Business Transformation with Google Cloud,Google Cloud,COURSE,4.7,Beginner,10k,Business Transformation with Google Cloud
Business Writing,University of Colorado Boulder,COURSE,4.8,Beginner,48k,Business Writing
Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,160k,Business and Financial Modeling
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",COURSE,4.5,Beginner,31k,C for Everyone Programming Fundamentals
