course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_title_clean
Introduction to Big Data,University of California San Diego,COURSE,4.6,Intermediate,160k,Introduction to Big Data
Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,16k,Introduction to Blockchain Technologies
Introduction to Breast Cancer,Yale University,COURSE,4.9,Intermediate,27k,Introduction to Breast Cancer
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,14k,Introduction to Business Analytics Communicating with Data
Introduction to CSS3,University of Michigan,COURSE,4.8,Intermediate,84k,Introduction to CSS3
Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,53k,Introduction to Calculus
Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46k,Introduction to Chemistry  Reactions and Ratios
Introduction to Classical Music,Yale University,COURSE,4.9,Intermediate,150k,Introduction to Classical Music
Introduction to Cloud Computing,IBM,COURSE,4.6,Beginner,2.6k,Introduction to Cloud Computing
Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,20k,Introduction to Computer Programming
Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,32k,Introduction to Computer Science and Programming
Introduction to Corporate Finance,University of Pennsylvania,COURSE,4.6,Intermediate,130k,Introduction to Corporate Finance
Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,27k,Introduction to Cyber Attacks
Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,32k,Introduction to Cyber Security
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,30k,Introduction to Cybersecurity Tools  Cyber Attacks
Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Intermediate,99k,Introduction to Data Analysis Using Excel
Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,310k,Introduction to Data Science
Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate,390k,Introduction to Data Science in Python
Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,25k,Introduction to Dental Medicine
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,75k,Introduction to Discrete Mathematics for Computer Science
Introduction to Electronics,Georgia Institute of Technology,COURSE,4.7,Intermediate,110k,Introduction to Electronics
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate,41k,Introduction to Embedded Systems Software and Development Environments
Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,Intermediate,150k,Introduction to Engineering Mechanics
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Intermediate,34k,Introduction to Environmental Law and Policy
Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Intermediate,200k,Introduction to Financial Accounting
Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Intermediate,47k,Introduction to Forensic Science
Introduction to Game Development,Michigan State University,COURSE,4.8,Intermediate,79k,Introduction to Game Development
Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Intermediate,74k,Introduction to Genetics and Evolution
Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Intermediate,42k,Introduction to Genomic Technologies
Introduction to HTML5,University of Michigan,COURSE,4.7,Intermediate,220k,Introduction to HTML5
Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner,54k,Introduction to Imagemaking
Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner,6k,Introduction to Intellectual Property
Introduction to International Criminal Law,Case Western Reserve University,COURSE,4.8,Intermediate,82k,Introduction to International Criminal Law
Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Intermediate,220k,Introduction to Marketing
Introduction to Mathematical Thinking,Stanford University,COURSE,4.8,Intermediate,270k,Introduction to Mathematical Thinking
Introduction to Operations Management,University of Pennsylvania,COURSE,4.5,Intermediate,87k,Introduction to Operations Management
Introduction to Personal Branding,University of Virginia,COURSE,4.4,Beginner,140k,Introduction to Personal Branding
Introduction to Philosophy,The University of Edinburgh,COURSE,4.6,Intermediate,370k,Introduction to Philosophy
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Intermediate,11k,Introduction to Portfolio Construction and Analysis with Python
Introduction to Probability and Data,Duke University,COURSE,4.7,Beginner,160k,Introduction to Probability and Data
Introduction to Programming in C,Duke University,SPECIALIZATION,4.7,Beginner,82k,Introduction to Programming in C
Introduction to Programming with MATLAB,Vanderbilt University,COURSE,4.8,Beginner,270k,Introduction to Programming with MATLAB
Introduction to Psychology,Yale University,COURSE,4.9,Beginner,270k,Introduction to Psychology
Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner,49k,Introduction to Scripting in Python
Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,Advanced,39k,Introduction to SelfDriving Cars
Introduction to Spreadsheets and Models,University of Pennsylvania,COURSE,4.2,Intermediate,76k,Introduction to Spreadsheets and Models
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner,12k,Introduction to Statistics  Data Analysis in Public Health
Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,69k,Introduction to Sustainability
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Intermediate,67k,Introduction to Systematic Review and MetaAnalysis
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Intermediate,33k,Introduction to Systems Engineering
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,COURSE,4.7,Intermediate,150k,Introduction to TensorFlow for Artificial Intelligence Machine Learning and Deep Learning
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,4.1k,Introduction to Thermodynamics Transferring Energy from Here to There
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4.0,Intermediate,13k,Introduction to Trading Machine Learning  GCP
Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner,72k,Introduction to Typography
Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner,87k,Introduction to User Experience Design
Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,16k,Introduction to User Experience Principles and Processes
Introduction to Web Development,"University of California, Davis",COURSE,4.7,Beginner,76k,Introduction to Web Development
Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner,110k,Introduction to the Biology of Cancer
Introductory Human Physiology,Duke University,COURSE,4.7,Intermediate,270k,Introductory Human Physiology
Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,SPECIALIZATION,4.9,Beginner,4.5k,Introduo aos Princpios e Prticas da Gesto De Projetos
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner,120k,Introduo  Cincia da Computao com Python Parte 1
Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner,99k,Investment Management
Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,14k,Investment Management with Python and Machine Learning
Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,49k,Investment and Portfolio Management
Japanese for beginners 1,Saint Petersburg State University,COURSE,4.6,Beginner,4.4k,Japanese for beginners 1
Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner,380k,Java Programming and Software Engineering Fundamentals
Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner,160k,Java Programming Solving Problems with Software
Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,22k,Julia Scientific Programming
Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,37k,Kotlin for Java Developers
L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8k,Lexcellence oprationnelle en pratique
"L'impact investing, la finance qui change le monde",ESSEC Business School,SPECIALIZATION,4.6,Beginner,6.3k,Limpact investing la finance qui change le monde
Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,17k,Leadership Development for Engineers
Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Intermediate,34k,Leadership in 21st Century Organizations
Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.8,Beginner,16k,Leading Healthcare Quality and Safety
Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner,220k,Leading People and Teams
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,5.9k,Leading for Equity Diversity and Inclusion in Higher Education
Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,Intermediate,16k,Leading Human Resource Management and Leadership
Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,43k,Learn Chinese HSK Test Preparation
Learn English,Tsinghua University,SPECIALIZATION,4.3,Beginner,22k,Learn English
Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,78k,Learn English Advanced Academic Speaking and Listening
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52k,Learn English Advanced Grammar and Punctuation
Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,120k,Learn English Intermediate Grammar
Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,39k,Learn Mandarin Chinese
Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,160k,Learn SQL Basics for Data Science
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner,80k,Learn Spanish Basic Spanish Vocabulary
Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner,180k,Learn to Program The Fundamentals
Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner,120k,Learn to Speak Korean 1
Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,68k,Learning to Teach Online
Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7.2k,Legal Tech  Startups
Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10k,Les Fondamentaux de la Ngociation
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23k,Liderazgo efectivo para el siglo XXI
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Intermediate,29k,Linear Circuits 1 DC Analysis
Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner,14k,Love as a Force for Social Justice
Machine Learning,University of Washington,SPECIALIZATION,4.6,Intermediate,290k,Machine Learning
Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,Intermediate,240k,Machine Learning Foundations A Case Study Approach
Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate,29k,Machine Learning and Reinforcement Learning in Finance
Machine Learning for All,University of London,COURSE,4.6,Beginner,19k,Machine Learning for All
Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate,58k,Machine Learning for Business Professionals
Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate,15k,Machine Learning for Trading
Machine Learning with Python,IBM,COURSE,4.7,Intermediate,120k,Machine Learning with Python
Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate,72k,Machine Learning with TensorFlow on Google Cloud Platform
Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,Beginner,78k,Magic in the Middle Ages
Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner,43k,Making Architecture
Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.7,Intermediate,120k,Management of Fashion and Luxury Companies
Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner,11k,Managerial Accounting Fundamentals
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,55k,Managerial Economics and Business Analysis
Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner,23k,Managing Innovation and Design Thinking
Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Intermediate,71k,Managing Project Risks and Changes
Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner,27k,Managing Social and Human Capital
Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner,47k,Managing Your Health The Role of Physical Therapy and Exercise
Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner,22k,Market Research
Marketing Digital,Universidade de São Paulo,COURSE,4.8,Beginner,81k,Marketing Digital
Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate,49k,Marketing Gerencial
Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.6,Beginner,93k,Marketing Mix Implementation
Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner,57k,Marketing Strategy
Marketing Verde,Universidad de los Andes,COURSE,4.8,Intermediate,58k,Marketing Verde
Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,60k,Marketing con Redes Sociales
Marketing in a Digital World,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,310k,Marketing in a Digital World
Mastering Data Analysis in Excel,Duke University,COURSE,4.2,Intermediate,280k,Mastering Data Analysis in Excel
Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner,8.4k,Mastering Final Cut Pro
Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,52k,Mastering Software Development in R
Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Intermediate,48k,Materials Science 10 Things Every Engineer Should Know
Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,12k,Mathematics for Data Science
Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner,150k,Mathematics for Machine Learning
Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.7,Beginner,140k,Mathematics for Machine Learning Linear Algebra
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner,51k,Mathematics for Machine Learning Multivariate Calculus
Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4.0,Intermediate,33k,Mathematics for Machine Learning PCA
Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,4.8k,Medical Cannabis The Health Effects of THC and CBD
Medical Neuroscience,Duke University,COURSE,4.9,Advanced,170k,Medical Neuroscience
Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.3,Beginner,13k,Memoir and Personal Essay Write About Yourself
Methods and Statistics in Social Sciences,University of Amsterdam,SPECIALIZATION,4.6,Beginner,260k,Methods and Statistics in Social Sciences
Microeconomics Principles,University of Illinois at Urbana-Champaign,COURSE,4.9,Beginner,73k,Microeconomics Principles
Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,Intermediate,34k,Microeconomics The Power of Markets
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,COURSE,4.8,Beginner,230k,Mindshift Break Through Obstacles to Learning and Discover Your Hidden Potential
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,COURSE,4.7,Beginner,120k,Miracles of Human Language An Introduction to Linguistics
Model Thinking,University of Michigan,COURSE,4.8,Intermediate,130k,Model Thinking
Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,Intermediate,36k,Modeling Risk and Realities
Modern Art & Ideas,The Museum of Modern Art,COURSE,4.7,Beginner,310k,Modern Art  Ideas
Modern Big Data Analysis with SQL,Cloudera,SPECIALIZATION,4.8,Beginner,14k,Modern Big Data Analysis with SQL
"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,Intermediate,21k,Modern Robotics  Mechanics Planning and Control
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,COURSE,4.7,Intermediate,9.1k,Modernizing Data Lakes and Data Warehouses with GCP
Moral Foundations of Politics,Yale University,COURSE,4.8,Intermediate,100k,Moral Foundations of Politics
More Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.9,Intermediate,40k,More Introduction to Financial Accounting
Mountains 101,University of Alberta,COURSE,4.9,Intermediate,44k,Mountains 101
Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,59k,Municipal Solid Waste Management in Developing Countries
Music Business,Berklee College of Music,SPECIALIZATION,4.8,Beginner,42k,Music Business
Music Business Foundations,Berklee College of Music,COURSE,4.9,Intermediate,34k,Music Business Foundations
Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,70k,Music Production
Nanotechnology: A Maker’s Course,Duke University,COURSE,4.8,Intermediate,21k,Nanotechnology A Makers Course
Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,Intermediate,40k,Natural Language Processing in TensorFlow
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,COURSE,4.8,Intermediate,95k,Negociacin exitosa Estrategias y habilidades esenciales en espaol
"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner,22k,Negotiation Mediation and Conflict Resolution
Networking and Security Architecture with VMware NSX,VMware,COURSE,4.8,Intermediate,17k,Networking and Security Architecture with VMware NSX
Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate,290k,Networking in Google Cloud
Neural Networks and Deep Learning,deeplearning.ai,COURSE,4.9,Intermediate,630k,Neural Networks and Deep Learning
Neurolinguistics,Saint Petersburg State University,COURSE,4.7,Intermediate,41k,Neurolinguistics
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",COURSE,4.7,Beginner,12k,New Approaches to Countering Terror Countering Violent Extremism
Newborn Baby Care,University of Colorado System,SPECIALIZATION,4.8,Beginner,5.3k,Newborn Baby Care
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,100k,Nutricin y obesidad control de sobrepeso
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,35k,Nutrition and Lifestyle in Pregnancy
Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.7,Intermediate,250k,Object Oriented Java Programming Data Structures and Beyond
Object Oriented Programming in Java,Duke University,SPECIALIZATION,4.6,Beginner,330k,Object Oriented Programming in Java
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,21k,ObjectOriented Data Structures in C
Object-Oriented Design,University of Alberta,COURSE,4.7,Intermediate,33k,ObjectOriented Design
Oil & Gas Industry Operations and Markets,Duke University,COURSE,4.8,Intermediate,57k,Oil  Gas Industry Operations and Markets
"Open Source Software Development, Linux and Git",The Linux Foundation,SPECIALIZATION,4.4,Beginner,13k,Open Source Software Development Linux and Git
Operating Systems and You: Becoming a Power User,Google,COURSE,4.6,Beginner,76k,Operating Systems and You Becoming a Power User
Operations Analytics,University of Pennsylvania,COURSE,4.7,Intermediate,80k,Operations Analytics
Optical Engineering,University of Colorado Boulder,SPECIALIZATION,4.2,Advanced,6.2k,Optical Engineering
Organizational Leadership,Northwestern University,SPECIALIZATION,4.7,Intermediate,92k,Organizational Leadership
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,COURSE,4.7,Beginner,22k,Osteoarchaeology The Truth in Our Bones
Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,SPECIALIZATION,4.8,Beginner,3.2k,Palliative Care Its Not Just Hospice Anymore
Palo Alto Networks Cybersecurity,Palo Alto Networks,SPECIALIZATION,4.6,Beginner,9.1k,Palo Alto Networks Cybersecurity
"Parallel, Concurrent, and Distributed Programming in Java",Rice University,SPECIALIZATION,4.5,Intermediate,30k,Parallel Concurrent and Distributed Programming in Java
Particle Physics: an Introduction,University of Geneva,COURSE,4.5,Intermediate,42k,Particle Physics an Introduction
Patient Safety,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,8.8k,Patient Safety
Patrocinio Deportivo,Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,12k,Patrocinio Deportivo
People Analytics,University of Pennsylvania,COURSE,4.5,Intermediate,84k,People Analytics
Perfect Tenses and Modals,"University of California, Irvine",COURSE,4.7,Intermediate,79k,Perfect Tenses and Modals
Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,COURSE,4.9,Beginner,8.9k,Periodismo digital y combate a las fake news
Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,SPECIALIZATION,4.7,Beginner,160k,Photography Basics and Beyond From Smartphone to DSLR
Plant Bioinformatic Methods,University of Toronto,SPECIALIZATION,4.7,Beginner,83k,Plant Bioinformatic Methods
Politics and Economics of International Energy,Sciences Po,COURSE,4.7,Beginner,34k,Politics and Economics of International Energy
Positive Psychiatry and Mental Health,The University of Sydney,COURSE,4.8,Intermediate,72k,Positive Psychiatry and Mental Health
Positive Psychology,The University of North Carolina at Chapel Hill,COURSE,4.7,Intermediate,180k,Positive Psychology
Positive Psychology: Applications and Interventions,University of Pennsylvania,COURSE,4.8,Beginner,23k,Positive Psychology Applications and Interventions
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,COURSE,4.8,Beginner,50k,Positive Psychology Martin E P Seligmans Visionary Science
Positive Psychology: Resilience Skills,University of Pennsylvania,COURSE,4.6,Beginner,40k,Positive Psychology Resilience Skills
Power Electronics,University of Colorado Boulder,SPECIALIZATION,4.8,Intermediate,67k,Power Electronics
Practical Data Science with MATLAB,MathWorks,SPECIALIZATION,4.7,Beginner,10k,Practical Data Science with MATLAB
Practical Time Series Analysis,The State University of New York,COURSE,4.6,Intermediate,39k,Practical Time Series Analysis
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,COURSE,4.7,Beginner,22k,Preparing for the Google Cloud Associate Cloud Engineer Exam
Preparing to Manage Human Resources,University of Minnesota,COURSE,4.8,Intermediate,68k,Preparing to Manage Human Resources
"Presentation Skills: Speechwriting, Slides and Delivery",E-Learning Development Fund,SPECIALIZATION,4.6,Beginner,47k,Presentation Skills Speechwriting Slides and Delivery
Pricing Strategy Optimization,BCG,SPECIALIZATION,4.8,Beginner,20k,Pricing Strategy Optimization
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,COURSE,4.8,Intermediate,280k,Primeros Auxilios Psicolgicos PAP
Private Equity and Venture Capital,Università Bocconi,COURSE,4.8,Intermediate,79k,Private Equity and Venture Capital
Probabilistic Graphical Models 1: Representation,Stanford University,COURSE,4.7,Advanced,68k,Probabilistic Graphical Models 1 Representation
Probability and Statistics: To p or not to p?,University of London,COURSE,4.6,Beginner,36k,Probability and Statistics To p or not to p
Process Mining: Data science in Action,Eindhoven University of Technology,COURSE,4.8,Intermediate,39k,Process Mining Data science in Action
"Programming Foundations with JavaScript, HTML and CSS",Duke University,COURSE,4.6,Beginner,250k,Programming Foundations with JavaScript HTML and CSS
Programming Fundamentals,Duke University,COURSE,4.7,Beginner,19k,Programming Fundamentals
Programming for Everybody (Getting Started with Python),University of Michigan,COURSE,4.8,Intermediate,1.3m,Programming for Everybody Getting Started with Python
Programming with Google Go,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate,18k,Programming with Google Go
Project Execution,"University of California, Irvine",COURSE,4.2,Beginner,70k,Project Execution
Project Launch,"University of California, Irvine",COURSE,4.7,Beginner,190k,Project Launch
Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,440k,Project Management  Other Tools for Career Development
Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,230k,Project Management Principles and Practices
Psychological First Aid,Johns Hopkins University,COURSE,4.8,Intermediate,190k,Psychological First Aid
Public Policy Challenges of the 21st Century,University of Virginia,COURSE,4.6,Beginner,52k,Public Policy Challenges of the 21st Century
Python Basics,University of Michigan,COURSE,4.8,Beginner,110k,Python Basics
Python Classes and Inheritance,University of Michigan,COURSE,4.7,Intermediate,21k,Python Classes and Inheritance
Python Data Structures,University of Michigan,COURSE,4.9,Intermediate,420k,Python Data Structures
"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner,26k,Python Functions Files and Dictionaries
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate,41k,Python and Statistics for Financial Analysis
Python for Data Science and AI,IBM,COURSE,4.6,Beginner,170k,Python for Data Science and AI
Python for Everybody,University of Michigan,SPECIALIZATION,4.8,Beginner,1.5m,Python for Everybody
Quantitative Methods,University of Amsterdam,COURSE,4.7,Intermediate,69k,Quantitative Methods
Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,COURSE,4.9,Beginner,3k,Queering Identities LGBTQ Sexuality and Gender Identity
R Programming,Johns Hopkins University,COURSE,4.6,Intermediate,480k,R Programming
"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,COURSE,4.8,Beginner,7.7k,Ready Set Future Introduction to Futures Thinking
Recommender Systems,University of Minnesota,SPECIALIZATION,4.3,Intermediate,29k,Recommender Systems
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,COURSE,4.7,Intermediate,35k,Recruiting Hiring and Onboarding Employees
Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,Intermediate,23k,Reinforcement Learning
Renewable Energy and Green Building Entrepreneurship,Duke University,COURSE,4.7,Beginner,24k,Renewable Energy and Green Building Entrepreneurship
Reporting extra-financier et stratégie RSE,ESSEC Business School,COURSE,4.7,Beginner,5.2k,Reporting extrafinancier et stratgie RSE
Requirements Engineering: Secure Software  Specifications,University of Colorado System,SPECIALIZATION,4.6,Beginner,7.2k,Requirements Engineering Secure Software  Specifications
Research Data Management and Sharing,The University of Edinburgh,COURSE,4.6,Intermediate,16k,Research Data Management and Sharing
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,COURSE,4.8,Intermediate,15k,Resilience in Children Exposed to Trauma Disaster and War Global Perspectives
Responsive Website Development and Design,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner,170k,Responsive Website Development and Design
Rethinking International Tax Law,Universiteit Leiden,COURSE,4.9,Intermediate,36k,Rethinking International Tax Law
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,COURSE,4.9,Intermediate,17k,Reviso Sistemtica e Metaanlise
Robotics,University of Pennsylvania,SPECIALIZATION,4.4,Beginner,120k,Robotics
Roman Architecture,Yale University,COURSE,4.9,Beginner,30k,Roman Architecture
Russian Alphabet,Saint Petersburg State University,COURSE,4.7,Beginner,3.2k,Russian Alphabet
Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,SPECIALIZATION,4.7,Beginner,7k,Russian for beginners 1   A1
Réussir le Changement,ESSEC Business School,COURSE,4.5,Intermediate,33k,Russir le Changement
SAS Programmer,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner,370k,SAS Programmer
SAS Visual Business Analytics,SAS,PROFESSIONAL CERTIFICATE,4.6,Beginner,2.6k,SAS Visual Business Analytics
SQL for Data Science,"University of California, Davis",COURSE,4.6,Beginner,160k,SQL for Data Science
Sales Operations/Management,West Virginia University,SPECIALIZATION,4.4,Beginner,5.6k,Sales OperationsManagement
Sales Training for High Performing Teams,HubSpot Academy,SPECIALIZATION,4.7,Beginner,16k,Sales Training for High Performing Teams
Sample-based Learning Methods,University of Alberta,COURSE,4.8,Intermediate,6.8k,Samplebased Learning Methods
Scaling Operations: Linking Strategy and Execution,Northwestern University,COURSE,4.5,Intermediate,12k,Scaling Operations Linking Strategy and Execution
